min,max,kappa,f1,percentage_below_min,rows_below_min,percentage_below_min_and_zero,rows_below_min_and_zero
0.95,1.0,,0.0,100.0,399,13.283208020050125,53
0.9,0.95,,0.09090909090909091,99.74937343358395,398,13.283208020050125,53
0.85,0.9,,0.0,99.74937343358395,398,13.283208020050125,53
0.8,0.85,1.0,0.36363636363636365,98.49624060150376,393,13.283208020050125,53
0.75,0.8,1.0,0.6363636363636364,93.48370927318295,373,13.283208020050125,53
0.7,0.75,0.973536036036036,0.9696969696969696,81.70426065162907,326,13.032581453634084,52
0.65,0.7,0.9086247086247086,0.8361799816345271,69.42355889724311,277,12.280701754385964,49
0.6,0.65,0.738472798243474,0.8274131784967698,52.63157894736842,210,10.275689223057643,41
0.55,0.6,0.8069939475453933,0.7401069518716578,42.35588972431078,169,9.523809523809524,38
0.5,0.55,0.7672253258845437,0.7020979020979021,29.82456140350877,119,8.521303258145362,34
0.45,0.5,0.5622119815668203,0.5562437562437562,20.30075187969925,81,5.764411027568922,23
0.4,0.45,0.6750232126276694,0.6596736596736597,11.528822055137844,46,4.511278195488721,18
0.35,0.4,0.5862068965517242,0.5272727272727272,7.518796992481203,30,3.007518796992481,12
0.3,0.35,0.31958762886597947,0.25757575757575757,3.007518796992481,12,0.7518796992481203,3
0.25,0.3,0.33333333333333337,0.1515151515151515,2.0050125313283207,8,0.5012531328320802,2
0.2,0.25,0.2222222222222222,0.09090909090909091,0.2506265664160401,1,0.0,0
0.15,0.2,0.0,0.0,0.0,0,0.0,0
0.1,0.15,,0.0,0.0,0,0.0,0
0.05,0.1,,0.0,0.0,0,0.0,0
0.0,0.05,,0.0,0.0,0,0.0,0
