min,max,kappa,f1,percentage_below_min,rows_below_min,percentage_below_min_and_zero,rows_below_min_and_zero
0.95,1.0,,0.0,100.0,399,13.283208020050125,53
0.9,0.95,,0.0,100.0,399,13.283208020050125,53
0.85,0.9,,0.09090909090909091,99.49874686716792,397,13.283208020050125,53
0.8,0.85,1.0,0.18181818181818182,96.2406015037594,384,13.283208020050125,53
0.75,0.8,1.0,0.5454545454545454,92.98245614035088,371,13.283208020050125,53
0.7,0.75,1.0,0.6363636363636364,89.72431077694235,358,13.283208020050125,53
0.65,0.7,0.9051094890510949,0.5272727272727272,86.46616541353383,345,13.032581453634084,52
0.6,0.65,0.9291084854994629,0.9627039627039629,78.19548872180451,312,12.531328320802004,50
0.55,0.6,0.8585231193926846,0.7405483405483405,67.91979949874687,271,11.528822055137844,46
0.5,0.55,0.8230647709320695,0.6560606060606061,60.902255639097746,243,11.027568922305765,44
0.45,0.5,0.8672905146746066,0.8715728715728716,47.86967418546366,191,10.275689223057643,41
0.4,0.45,0.6836158192090396,0.6158614113159567,37.34335839598997,149,9.022556390977442,36
0.35,0.4,0.7058823529411764,0.5604617604617604,27.56892230576441,110,8.020050125313283,32
0.3,0.35,0.4757281553398057,0.44355317884729656,17.794486215538846,71,4.761904761904762,19
0.25,0.3,0.4274809160305344,0.3628724216959511,11.528822055137844,46,4.010025062656641,16
0.2,0.25,0.08771929824561409,0.07575757575757575,7.518796992481203,30,3.258145363408521,13
0.15,0.2,0.30487804878048785,0.27878787878787875,2.756892230576441,11,1.5037593984962405,6
0.1,0.15,0.0,0.0,2.0050125313283207,8,1.0025062656641603,4
0.05,0.1,-0.16129032258064524,0.0,0.5012531328320802,2,0.2506265664160401,1
0.0,0.05,0.0,0.0,0.0,0,0.0,0
