min,max,kappa,f1,percentage_below_min,rows_below_min,percentage_below_min_and_zero,rows_below_min_and_zero
0.95,1.0,,0.09090909090909091,96.74185463659147,386,13.283208020050125,53
0.9,0.95,1.0,0.2727272727272727,95.48872180451127,381,13.283208020050125,53
0.85,0.9,1.0,0.36363636363636365,92.4812030075188,369,13.283208020050125,53
0.8,0.85,1.0,0.45454545454545453,89.97493734335839,359,13.283208020050125,53
0.75,0.8,1.0,0.2727272727272727,85.46365914786968,341,13.283208020050125,53
0.7,0.75,0.8991596638655462,0.5454545454545454,82.45614035087719,329,13.032581453634084,52
0.65,0.7,0.927038626609442,0.6363636363636364,78.19548872180451,312,12.781954887218044,51
0.6,0.65,0.7666666666666666,0.7506493506493506,69.67418546365914,278,11.278195488721805,45
0.55,0.6,0.8668941979522184,0.9567099567099568,63.1578947368421,252,10.776942355889723,43
0.5,0.55,0.7110091743119267,0.7662534435261708,54.385964912280706,217,9.523809523809524,38
0.45,0.5,0.6551724137931034,0.5324675324675323,46.11528822055138,184,8.771929824561402,35
0.4,0.45,0.5049226441631505,0.5221763085399449,34.08521303258145,136,7.268170426065162,29
0.35,0.4,0.554639175257732,0.37878787878787884,28.07017543859649,112,6.7669172932330826,27
0.3,0.35,0.3796680497925311,0.425974025974026,22.305764411027567,89,6.015037593984962,24
0.25,0.3,0.17439293598233996,0.19264069264069264,16.791979949874687,67,4.260651629072681,17
0.2,0.25,0.022556390977443552,0.09090909090909091,10.275689223057643,41,2.756892230576441,11
0.15,0.2,-0.031189083820662766,0.0,4.511278195488721,18,1.5037593984962405,6
0.1,0.15,0.07216494845360832,0.045454545454545456,2.0050125313283207,8,0.5012531328320802,2
0.05,0.1,0.0,0.0303030303030303,0.2506265664160401,1,0.0,0
0.0,0.05,0.0,0.0,0.0,0,0.0,0
