min,max,kappa
0.9,1.0,1.0
0.8,0.9,0.8176126534310899
0.7,0.8,0.39171122994652396
0.6,0.7,0.6
0.5,0.6,
0.4,0.5,
0.3,0.4,
0.2,0.3,
0.1,0.2,
0.0,0.1,
