min,max,kappa
0.9,1.0,1.0
0.8,0.9,0.9805260495700556
0.7,0.8,0.6710316974666504
0.6,0.7,0.0
0.5,0.6,
0.4,0.5,
0.3,0.4,
0.2,0.3,
0.1,0.2,
0.0,0.1,
