Code,Average similarity to other codes
Individual goal of getting a prize,0.8445308974811009
Individual not motivated by prizes,0.7598537121500287
Individual goal to win,0.7997306329863412
Individual goal to learn,0.8075450829097203
Individual goal to have fun,0.8258999586105347
Change of individual goal,0.8318076474325997
Recognition of individual goals,0.7887595636504037
Individual preference of idea,0.7851037468229022
