Code,Average similarity to other codes
Prizes,0.20059833344486025
Workshop,0.29485589017470676
Sponsor,0.2982003258334266
Break,0.2935469233327442
Hackathon versus industry project,0.3987253937456343
Win ratio,0.40681321091122097
Concern for resources,0.4813368221124013
Concern for timing,0.43935121099154156
Checking in with others,0.3892431788974338
Hackathon strategy,0.24872296551863352
